Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
"ACACIA GUM","Acacia senegal (L ) Willd",Leguminosae,"Acacia [JAN]; Acacia senegal gum; Arabic gum; gum Arabic; Acacia delbata gum; Acacia solution; Acacia syrup; Australian gum; Gum Arabic; Indian gum; Wattle gum",9000-01-05,,2001,2001,,232-519-5,,414,"Arabic or acacia gum is the dried exudate obtained from the stems and branches of Acacia senegal (L ) Willd. or of related species of Acacia. Injured trees exude gum Arabic; heat, poor nutrition and drought stimulate its production. Most of the gum Arabic production is from wild trees, but some from privately owned and cultivated gardens are tapped and collected on a systematic basis The gum called Hashab geneina (garden gum) is the cleanest and lightest grade and is most preferred for the U S. market. The wild gum (called Hashab wady) is collected on a part-time basis in the dry season, from October to May or June, by natives whose main occupation is usually farming. After gathering, it is taken to central collecting stations where it is auctioned under government super-vision, graded by hand and dried before exporting to gum suppliers in all parts of the world. Then it is resorted, ground, processed and graded to various specifications Clear, white (sun-bleached) spheroidal tears, up to 32 mm in diameter, also occur as flakes. Chemically, gum Arabic is a neutral or slightly acid salt of a complex polysaccharide containing calcium, magnesium and potassium cations. Its most distinguishing prop-erty among the natural gums is its extreme solubility in water. Solutions of over 50% concentration may be prepared. Gum Arabic is best described as “heteropolymolecular,” that is, a polymer system having either a variation in monomer (galactose, arabinose, rhamnose, glucuronic acid and 4-O-methylgucuronic acid) composition and/or variation in the mode of linking and branching of the monomer units, in addition to a distribution in molecular weight Major uses of gum Arabic in foods are as a fixative for flavors, a foam stabilizer in beverages, an adhesive for icings and toppings, and an emulsifier and stabilizer in confectionary and ice cream. It is also widely used in the pharmaceutical, cosmetic, paper, textile, paint, ink and lithography industries ","12,000,000.00 lb ","10.1694 mg/kg/day",,"21 CFR 169.179, 172.780, 184.1330, 582.7330; 27 CFR 24.246; 240.1051","Listed in Inactive Ingredient Guide (CDER, 1996); HOC (1992)","Not specified (1989)","2.47 mg",Natural,"(FCC, 1996); Appearance; White or yellowish white spheroidal ; tears; Heavy metals (as Pb); Not more than 0.002%; Arsenic (as As); Not more than 3 mg/kg; Identification; To 10 mL of a cold 1-in-50 solution of ; acacia, add 0.2 mL diluted lead ; subacetate TS; a flocculent, or curdy, ; white precipitate is formed ; immediately; Ash (acid-insoluble); Not more than 0.5%; Insoluble matter; Not more than 1%; Ash (total); Not more than 4%; Solubility","(FEMA, 1994)","[['Alcoholic beverages', '0.59', '1.53'], ['Imitation dairy', '9.56', '12.50'], ['Baked goods', '0.78', '3.84'], ['Instant coffee, tea', '0.13', '0.80'], ['Breakfast cereals', '0.07', '0.18'], ['Meat products', '0.99', '3.37'], ['Chewing gum', '27.83', '28.04'], ['Milk products', '0.04', '0.04'], ['Condiments, relishes', '0.09', '0.11'], ['Nonalcoholic beverages', '0.36', '0.66'], ['Confection, frosting', '12.72', '14.86'], ['Nut products', '6.38', '7.28'], ['Fats, oils', '4.34', '12.61'], ['Other grains', '10.00', '10.00'], ['Frozen dairy', '0.24', '0.32'], ['Snack foods', '5.72', '28.57'], ['Fruit juice', '0.36', '0.56'], ['Soft candy', '269.20', '452.10'], ['Fruit ices', '5.00', '9.99'], ['Soups', '0.04', '0.04'], ['Gelatins, puddings', '0.61', '5.28'], ['Sugar substitutes', '10.00', '10.00'], ['Hard candy', '276.50', '284.70']]",,"spicy sweet, fruity and honey with a woody, herbal nuance ",,,,,,,,,,,,,,
ACETAL,,,"Acetaldehyde diethyl acetal; Acetaldehyde ethyl acetal; Acetol; Diethylacetal; Dithane, 1,1-diethoxy-; Ethylidene diethyl ether; Ethylidenediethyl ether; 1,1-Diethoxyethane",105-57-7,6.001,2002,2002,35,203-310-6,941,,"Acetal has a refreshing, pleasant, fruity-green odor ","1000.00 lb","0.0008474 mg/kg/day","20 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","11.580 mg","Nature Identical","(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.378–1.386 (20°C); Appearance; Volatile colorless liquid; Solubility; Soluble in alcohol (1 mL in 1 mL 95% ; ethanol) propylene glycol and ; vegetable oils; slightly soluble in ; water; Assay (min); 95% C6H14O2; Specific gravity; 0.822–0.831 (25°C); Boiling point; 102°C","(FEMA, 1994)","[['Alcoholic beverages', '5.00', '13.33'], ['Gelatins, puddings', '36.39', '66.78'], ['Baked goods', '65.20', '89.70'], ['Hard candy', '4.20', '4.20'], ['Chewing gum', '154.70', '154.70'], ['Nonalcoholic beverages', '5.41', '10.55'], ['Fats, oils', '1.80', '2.50'], ['Soft candy', '32.69', '55.93'], ['Frozen dairy', '35.66', '72.70']]","4 to 42 ppb",,C6H14O2/118.18,"From ethyl alcohol and acetaldehyde in the presence of anhydrous calcium chloride or small amounts of mineral acids (HCl)","Present in some liquors (e g , sake, whiskey and cognac); also detected and quantitatively assessed in rums. Found in apple juice, orange juice, orange peel oil, bitter orange juice, strawberry fruit, raw radish, Chinese quince fruit, Chinese quince flesh, udo (Aralia cordata Thunb ) ",,,,,,,,,,,
ACETALDEHYDE,,,"Ethanal; Acetic aldehyde; Acetylaldehyde; Ethyl aldehyde",75-07-0,5.001,2003,2003,89,200-836-8,80,,"Acetaldehyde is a colorless, flammable liquid with a characteristic pungent, penetrating, ethereal odor. As a flavor ingredient/enhancer, as, for example, in orange juice, acetaldehyde helps create naturalness, fruitiness and juiciness ","186666.6 lb.","0.1581 mg/kg/day","20 ppm","21 CFR 182.60, 582.60; 27 CFR 19.460, 21 et seq ",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1997)","35.261 mg.","Nature Identical","(FCC, 1996); Acid value (max); 5.0; Boiling point; 21°C; Appearance; Colorless, liquid; Residue on ; evaporation; 0.0006%; Assay (min); 99%; Solubility; Miscible in water, alcohol and organic ; solvents","(FEMA, 1994)","[['Alcoholic beverages', '470.00', '470.00'], ['Hard candy', '9.29', '21.49'], ['Baked goods', '30.00', '280.00'], ['Imitation dairy', '0.20', '0.70'], ['Cheese', '0.0005', '600.00'], ['Jams, jellies', '23.00', '50.00'], ['Chewing gum', '0.78', '9.20'], ['Meat products', '1.67', '5.53'], ['Condiment, relish', '0.50', '5.00'], ['Milk products', '76.00', '76.00'], ['Confection, frosting', '83.00', '2000.00'], ['Nonalcoholic beverages', '38.00', '190.00'], ['Fats, oils', '0.10', '4.00'], ['Reconstituted vegetables', '0.0085', '0.02'], ['Frozen dairy', '94.00', '150.00'], ['Snack foods', '0.25', '10.00'], ['Fruit ices', '50.00', '100.00'], ['Soft candy', '3.00', '1000.00'], ['Gelatin, pudding', '8.10', '100.00'], ['Sweet sauce', '13.00', '230.00'], ['Gravies', '0.61', '53.00']]","27 to 380 ppb",,C2H4O/44.05,"(1) by oxidation of ethyl alcohol with potassium dichromate or manganese dioxide in the presence of sulfuric acid; (2) by addition of water to acetylene; (3) by formation during the natural alcoholic fermentation process. Recovery is effected by suitable fractionation, sub-sequent preparation of the acetaldehyde ammonia and final treatment of the addition compound with diluted sulfuric acid ","Reported found in oak and tobacco leaves; in the fruital aromas of pear, apple, raspberry, strawberry and pine-apple; in the distillation waters of Monarda punctata, orris, cumin, chenopodium; in the essential oils of Litsea cubeba, Magnolia grandiflora, Artemisia brevifolia, rosemary, balm, clary sage, Mentha arvensis, daffodil, bitter orange, camphor, angelica, fennel, mustard, Scotch blended whiskey, Japanese whiskey, rose wine, blackberry brandy and rum ",,,,,,,,,,,
"ACETALDEHYDE, BUTYL PHENETHYL ACETAL",,,"Benzene, (2-(1-butoxyethoxy)ethyl)-; 2-Butoxy-2-phenylethoxy-ethane Acetal R; Pepital; 1-Phenethoxy-1-propoxy-ethane;  Propyl. phenethyl. acetal;  2-(1-Butoxyethoxy)ethyl. benzene;  Benzene,. 2-(1-butoxyethoxy)ethyl-;  2-(1-Butoxyethoxy)ethyl benzene",64577-91-9,6.036,3125,3125,10007,264-948-9,1001,,"A liquid with a green leafy aroma and a green paper taste","<1.00 lb","0.00000084 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","0.546 mg",Artificial,"(JECFA, 2008); Acid value (max) ; 1.0; Refractive index; 1.467–1.481 (20°C); Appearance; Colorless liquid; Solubility; Miscible in oils; miscible in ethanol at ; room temperature; Assay (min); 97%; Specific gravity; 0.923–0.935 (25°C); Boiling point; 280–282°C","(FEMA, 1994)","[['Baked goods', '2.00', '3.00'], ['Nonalcoholic beverages', '1.67', '3.00'], ['Frozen dairy', '2.33', '3.00'], ['Soft candy', '3.00', '4.00'], ['Gelatins, puddings', '1.00', '3.00']]",,,C14H22O2/222.33,,"Not reported found in nature",,,,,,,,,,,
"ACETALDEHYDE DI-cis-3-HEXENYL ACETAL",,,"1,1-bis[3(Z)-Hexenyloxy]propane; (Z,Z)-1,1ʹ-[Ethylidenebis(oxy)]di(hex-3-ene); 3-Hexene, 1,1ʹ-(ethylidenebis(oxy))bis-, (3Z,3ʹZ)-; Acetaldehyde di-(Z)-3-hexen-1-yl acetal;  Acetaldehyde. di-(Z)-3-hexenyl. acetal;  (Z,Z)-1,1ʹ-(Ethylidenebis(oxy))di(hex-3-ene); 3-Hexene, 1,1ʹ-(ethylidenebis(oxy))bis-, (Z,Z)-; Leaf alcohol (dihexenyl) acetal",63449-64-9,,4381,,,264-154-2,1747,,"Clear, colorless liquid; strong, green, herbaceous aroma ","Odor and/or flavor used in balsam, green, herbal, and leaf.  ",,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","2.717 mg",,"(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.442–1.448 (20°C); Assay (min); 96%; Solubility; Insoluble in water; soluble in organic ; solvents and ethanol; Boiling point; 278–279°C ; Specific gravity; 0.864–0.870 (25°C)","(FEMA, 2007)","[['Baked goods', '2.00', '300.00'], ['Imitation dairy', '5.00', '500.00'], ['Breakfast cereal', '2.00', '300.00'], ['Jams/jellies', '5.00', '500.00'], ['Cheese', '2.00', '300.00'], ['Meat products', '2.00', '300.00'], ['Chewing gum', '5.00', '500.00'], ['Nonalcoholic beverages', '5.00', '300.00'], ['Condiment/relishes', '2.00', '300.00'], ['Other grains', '5.00', '500.00'], ['Confection/frosting', '5.00', '500.00'], ['Processed fruits', '5.00', '500.00'], ['Egg products', '2.00', '300.00'], ['Processed vegetables', '5.00', '500.00'], ['Fats/oils', '5.00', '500.00'], ['Seasonings/flavors', '5.00', '500.00'], ['Frozen dairy', '5.00', '500.00'], ['Snack foods', '2.00', '300.00'], ['Fruit ices', '5.00', '500.00'], ['Soft candy', '5.00', '500.00'], ['Gelatins/puddings', '5.00', '500.00'], ['Soups', '2.00', '300.00'], ['Gravies', '5.00', '500.00'], ['Sweet sauces', '5.00', '500.00'], ['Hard candy', '5.00', '500.00']]","High strength odor, green type; recommend smelling in a 10.00% solution or less ",,C14H26O2/226.36CH3OCH3OCH3,,"Not reported found in nature",,,,,,,,,,,
"ACETALDEHYDE DIISOAMYL ACETAL",,,"1,1ʹ-(Ethylidenebis(oxy))bis(3-methylbutane);  Butane,1,1-[ethylidenebis(oxy)]bis[3-methy]-;  3-Methyl-1-[1-(3-methy l-butoxy)-ethoxy]-butane; 1,1-bis(3-Methylbutoxy)ethane; 1,1-Di-isopentyloxyethane",13002-09-0,6.055,4024,,10028,235-839-3,1729,,,,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","6.599 mg (FEMA)",,"(JECFA, 2008); Acid value (max) ; 1.0; Refractive index; 1.410–1.420 (20°C); Appearance; Clear, colorless liquid; Solubility; Soluble in nonpolar solvents and ; ethanol; insoluble in water; Assay (min); 95%; Specific gravity; 0.822–0.832 (25°C); Boiling point; 70°C (2.5 mmHg)","(FEMA, 2001)","[['Alcoholic beverages', '10.00', '20.00'], ['Milk products', '10.00', '20.00'], ['Baked goods', '25.00', '50.00'], ['Nonalcoholic beverages', '10.00', '20.00'], ['Fish products', '10.00', '20.00'], ['Seasonings, flavors', '10.00', '20.00'], ['Frozen dairy', '15.00', '30.00'], ['Snack foods', '10.00', '20.00'], ['Fruit ices', '10.00', '20.00'], ['Soft candy', '15.00', '30.00'], ['Gelatins, puddings', '15.00', '30.00'], ['Soups', '15.00', '30.00'], ['Hard candy', '20.00', '40.00']]",,,C12H26O2/202.34H3CCH3CH3CH3CH3OO,,"Reportedly present in grape brandy, apple brandy, rum, sherry and cider ",,,,,,,,,,,
"ACETALDEHYDE ETHYL (Z)-3-HEXENYL ACETAL",,,"3-Hexene, 1-(1-ethoxyethoxy)-, (3Z)-; Acetaldehyde ethyl cis-3-hexenyl acetal; cis-1-(ethoxyethoxy)-3-hexene; Ethyl cis-3-hexenyl acetal; 3-Hexene, 1-(1-ethoxyethoxy)- (Z)-; cis-3-Hexenyl ethyl acetal of acetaldehyde; Leaf alcohol (ethyl) acetal",28069-74-1,6.081,3775,,10034,248-817-3,943,,"A colorless liquid with a powerful, green, herbaceous odor ","70.00 lb.","0.00008333 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","0.00995 mg",Natural,"(JECFA, 2008); Acid value (max); 2.0; Refractive index; 1.430–1.435 (20°C); Appearance; Colorless mobile liquid; Solubility; Insoluble in water; soluble in organic ; solvents, oils; miscible in ethanol at ; room temperature; Assay (min); 97%; Specific gravity; 0.846–0.856 (25°C); Boiling point; 85°C (7 mmHg)","(FEMA, 1994)","[['Chewing gum', '3.00', '7.00'], ['Hard candy', '2.00', '5.00'], ['Fruit ices', '0.02', '0.10'], ['Milk products', '0.08', '0.40'], ['Gelatins, puddings', '0.04', '0.40'], ['Nonalcoholic beverages', '0.04', '0.30']]","Aroma characteristics at 1.0%; sharp, fresh, green rind and green beanlike character ","Taste characteristics at 1 ppm; dry, green, rindy with a fruity finish, slightly buttery and mushroom-like with metallic nuances ",C10H20O2/172.27,"From acetaldehyde diethyl acetal (acetal) with cis-3-hexenol","Reported found in guava fruit (Psidium guajava L ) and plum",,,,,,,,,,,
"ACETALDEHYDE HEXYL ISOAMYL ACETAL",,,"1-Hexyloxy-1-(3-methylbutyl)oxypropane; 1-Hexoxy-1-(3-methylbutoxy)ethane; Acetaldehyde hexyl 3-methylbu-tyl acetal; 1-Hexyloxy-1-isopentyloxyethane; Acetaldehyde hexyl isoamyl acetal",233665-90-2,6.114,4365,,,,1727,,"Colorless liquid; sweet, fruity aroma ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","0.104 mg",,"(JECFA, 2008); Assay (min); 97% (sum of three components); Refractive index; 1.418–1.423 (20°C); Boiling point; 240–241°C ; Solubility; Insoluble in water; soluble in organic ; solvents and ethanol; Other requirements; Contains acetaldehyde hexyl isoamyl ; acetal (51–53%), acetaldehyde ; dihexyl acetal (26–28%) and ; acetaldehyde diisoamyl acetal ; (17–19%); Specific gravity; 0.833–0.838 (25°C)","(FEMA, 2007)","[['Nonalcoholic beverages', '1.00', '10.00']]","Medium strength odor; recommend smelling in a 10.00% solution or less",,C13H28O2/216.36CH3OCH3OCH3CH3,,"Not reported found in nature",,,,,,,,,,,
"ACETALDEHYDE 1,3-OCTANEDIOL ACETAL",,,"4-Methyl-2-pentyl-1,3-dioxane; 2-Methyl-4-pentyl-1,3-dioxane",202188-43-0,,4376,,,,1749,,"Clear, colorless liquid; green, ethereal aroma ","Odor and/or flavor used in green.",,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","0.038 mg",,"(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.429–1.433 (20°C); Assay (min); 96%; Specific gravity; 0.900–0.906 (25°C); Boiling point; 219–220°C; Solubility; Insoluble in water; soluble in organic ; solvents and ethanol","(FEMA, 2007)","[['Alcoholic beverages', '0.40', '2.00'], ['Jams/jellies', '0.50', '2.50'], ['Fruit ices', '0.50', '2.50'], ['Nonalcoholic beverages', '0.20', '1.00'], ['Hard candy', '1.00', '5.00']]","Medium strength odor, green type; recommend smelling in a 10.00% solution or less ",,C10H20O2/172.27CH3OOCH3,,"Not reported found in nature",,,,,,,,,,,
"ACETALDEHYDE PHENETHYL PROPYL ACETAL",,,"Acetal R; Pepital; 1-Phenethoxy-1-propoxy-ethane; Propyl phenethyl acetal; Acetaldehyde propyl phenylethyl acetal; Benzene, (2-(1-propoxyethoxy)ethyl)-; (2-(1-Propoxyethoxy)ethyl)benzene; (2-(1-Propoxyethoxy)ethyl) benzene",7493-57-4,6.016,2004,2004,511,231-327-9,1000,,"A colorless liquid with an odor described as being pleasant, clean or green or as having a very strong odor of green leaves. It has a green pepper taste and is useful in vegetable and fruit flavors ","433.33 lb.","0.0003672 mg/kg/day","Used provisionally","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","3.137 mg.",Artificial,"(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.475–1.483 (20°C); Appearance; Colorless liquid; Solubility; Miscible in oils; miscible in ethanol at ; room temperature; Assay (min); 96%; Specific gravity; 0.944–0.950 (25°C); Boiling point; 272°C; Specifications:; (Burdock, 1997); Appearance; Colorless, stable liquid; Solubility; 1:7 in 70% ethanol; 1:2 in 80% ; ethanol; Flash point; 95°C; Specific gravity; 0.944–0.950 (25°C/25°C); Refractive index; 1.4770–1.4820 (20°C)","(FEMA, 1994)","[['Alcoholic beverages', '3.00', '7.00'], ['Gravies', '0.50', '2.00'], ['Baked goods', '7.75', '15.00'], ['Nonalcoholic beverages', '2.67', '6.33'], ['Frozen dairy', '8.67', '20.00'], ['Processed vegetables', '15.00', '20.00'], ['Gelatins, puddings', '7.67', '13.00'], ['Soft candy', '7.00', '11.00']]",,,C13H20O2/208.30,"From acetaldehyde with a mixture of propyl and β-phenyl ethyl alcohols","Not reported found in nature",,,,,,,,,,,
