id,date,molecules
1,2016-01-01,125
2,2016-01-02,135
3,2016-01-03,177
4,2016-01-04,180
5,2016-01-05,196
6,2016-01-06,243
7,2016-01-07,264
8,2016-01-08,284
9,2016-01-09,323
10,2016-01-10,325
11,2016-01-11,335
12,2016-01-12,402
13,2016-01-13,460
14,2016-01-14,473
15,2016-01-15,602
16,2016-01-16,650
17,2016-01-17,753
18,2016-01-18,880
19,2016-01-19,957
20,2016-01-20,985
21,2016-01-21,996
22,2016-01-22,999
23,2016-01-23,1060
24,2016-01-24,1068
25,2016-01-25,1136
26,2016-01-26,1146
27,2016-01-27,1183
28,2016-01-28,1491
29,2016-01-29,2519
30,2016-01-30,2879
31,2016-01-31,2969
32,2016-02-01,3102
33,2016-02-02,3776
34,2016-02-03,3893
35,2016-02-04,4133
37,2016-02-06,5429
38,2016-02-07,5541
39,2016-02-08,5610
40,2016-02-09,5960
41,2016-02-10,5971
42,2016-02-11,6054
43,2016-02-12,6140
44,2016-02-13,6184
45,2016-02-14,6274
46,2016-02-15,6322
47,2016-02-16,6584
48,2016-02-17,6590
49,2016-02-18,6616
50,2016-02-19,6736
51,2016-02-20,6874
52,2016-02-21,6877
53,2016-02-22,6943
54,2016-02-23,6985
55,2016-02-24,6986
56,2016-02-25,6998
57,2016-02-26,7002
58,2016-02-27,7041
59,2016-02-28,7095
60,2016-02-29,7127
61,2016-03-01,7147
62,2016-03-02,7165
63,2016-03-03,7193
64,2016-03-04,7249
65,2016-03-05,7302
66,2016-03-06,7342
67,2016-03-07,7362
68,2016-03-08,7409
69,2016-03-09,7438
70,2016-03-10,7439
71,2016-03-11,7460
72,2016-03-12,7461
73,2016-03-13,7462
74,2016-03-14,7476
75,2016-03-15,7501
76,2016-03-16,7519
77,2016-03-17,7583
78,2016-03-18,7600
79,2016-03-19,7650
80,2016-03-20,7654
81,2016-03-21,7655
82,2016-03-22,7658
83,2016-03-23,7704
84,2016-03-24,7720
85,2016-03-25,7728
86,2016-03-26,7731
87,2016-03-27,7742
88,2016-03-28,7761
90,2016-03-30,7770
91,2016-03-31,7772
92,2016-04-01,7775
93,2016-04-02,7778
94,2016-04-03,7795
95,2016-04-04,7797
96,2016-04-05,7799
97,2016-04-06,7802
98,2016-04-07,7803
99,2016-04-08,7824
100,2016-04-09,7826
101,2016-04-10,7894
102,2016-04-11,7909
103,2016-04-12,7945
104,2016-04-13,7957
105,2016-04-14,7969
106,2016-04-15,7976
107,2016-04-16,7983
108,2016-04-17,7991
109,2016-04-18,8007
110,2016-04-19,8013
111,2016-04-20,8025
112,2016-04-21,8042
113,2016-04-22,8048
114,2016-04-23,8093
115,2016-04-24,8094
116,2016-04-25,8106
117,2016-04-26,8129
118,2016-04-27,8164
119,2016-04-28,8169
120,2016-04-29,8184
121,2016-04-30,8186
122,2016-05-01,8193
123,2016-05-02,8194
124,2016-05-03,8205
125,2016-05-04,8294
126,2016-05-05,8365
127,2016-05-06,8369
128,2016-05-07,8375
129,2016-05-08,8419
130,2016-05-09,8452
131,2016-05-10,8499
132,2016-05-11,8635
133,2016-05-12,8655
134,2016-05-13,8712
135,2016-05-14,8723
136,2016-05-15,8738
137,2016-05-16,8748
