id,taste,receptor_name,uniprot_id
1,Umami,mGluR4,Q14833
2,Umami,mGluR1,Q13255
3,Bitter,TAS2R1,Q9NYW7
4,Bitter,TAS2R3,Q9NYW6
5,Bitter,TAS2R4,Q9NYW5
6,Bitter,TAS2R5,Q9NYW4
7,Bitter,TAS2R7,Q9NYW3
8,Bitter,TAS2R8,Q9NYW2
9,Bitter,TAS2R9,Q9NYW1
10,Bitter,TAS2R10,Q9NYW0
11,Bitter,TAS2R13,Q9NYV9
12,Bitter,TAS2R14,Q9NYV8
13,Bitter,TAS2R16,Q9NYV7
14,Bitter,TAS2R19,P59542
15,Bitter,TAS2R20,P59543
16,Bitter,TAS2R30,P59541
17,Bitter,TAS2R31,P59538
18,Bitter,TAS2R38,P59533
19,Bitter,TAS2R39,P59534
20,Bitter,TAS2R40,P59535
21,Bitter,TAS2R41,P59536
22,Bitter,TAS2R42,Q7RTR8
23,Bitter,TAS2R43,P59537
24,Bitter,TAS2R45,P59539
25,Bitter,TAS2R46,P59540
26,Bitter,TAS2R50,P59544
27,Bitter,TAS2R60,P59551
28,Sweet,TAS1R1,Q7RTX1
29,Sweet,TAS1R2,Q8TE23
30,Sweet,TAS1R3,Q7RTX0
31,Sour,PKD2L1,Q9P0L9
32,Sour,HCN1,O60741
33,Sour,HCN4,Q9Y3Q4
34,odor,"OR1F1 OLFMF OR1F10 OR1F4 OR1F5 OR1F6 OR1F7 OR1F8 OR1F9",O43749
35,odor,"OR1D2 OLFR1",P34982
36,odor,"OR1E1 OR1E5 OR1E6 OR1E9P",P30953
37,odor,"OR3A3 OR3A6 OR3A7 OR3A8P",P47888
38,odor,"OR1Q1 OR1Q2 OR1Q3",Q15612
39,odor,"OR2B6 OR2B1 OR2B1P OR2B5 OR2B6P",P58173
40,odor,"OR2C3 OR2C4 OR2C5P",Q8N628
41,odor,"OR2A4 OR2A10",O95047
42,odor,GNAL,P38405
43,odor,"OR2F1 OLF3 OR2F3 OR2F3P OR2F4 OR2F5",Q13607
44,odor,"OR2H1 OR2H6 OR2H8",Q9GZK4
45,odor,"OR8D1 OR8D3",Q8WZ84
46,odor,"OR2H2 FAT11 OLFR2 OR2H3",O95918
47,odor,"OR7D4 OR7D4P",Q8NG98
